"astro-ph/0703376","Arunav Kundu","Arunav Kundu & Stephen E. Zepf","Bimodal Infrared Colors of the M87 Globular Cluster System: Peaks in the
  Metallicity Distribution","Accepted for publication in ApJ Letters. 5 pages, 4 figs. Version 2
  is identical to version 1",,"10.1086/518214",,"astro-ph",,"  The globular cluster (GC) systems of many galaxies reveal bimodal optical
color distributions. Based on stellar evolutionary models and the bimodal
colors and metallicities of Galactic GCs this is thought to reflect an
underlying bimodal metallicity distribution. However, stars at many different
phases of stellar evolution contribute to optical light. The I-H color is a
much cleaner tracer of metallicity because it primarily samples the metallicity
sensitive giant branch. Therefore, we use deep HST-NICMOS H, and WFPC2 optical
observations, of M87 GCs to study their metallicity distribution. The M87
clusters are bimodal in I-H, for which there is no known physical explanation
other than a bimodal metallicity distribution. Moreover, the two modes defined
by the B-I and I-H colors are comprised of roughly the same two sets of
objects, confirming that optical colors also primarily trace the metallicity.
This is inconsistent with a recent suggestion based on one model of metallicity
effects on the horizontal branch that bimodality arises from an underlying
unimodal metallicity distribution due to a specific color-metallicity relation.
We also find no discernable variation in the peak colors of the M87 GCs out to
roughly 75 kpc due to the declining ratio of red-to-blue GCs, as implied by
this model. Similarly, there is no evidence that the bimodal peaks are bluer
for systems with large blue-to-red GC ratio. Our observations confirm that the
primary cause of bimodality in cluster systems is an underlying bimodal
metallicity distribution, and not the specific color-metallicity relationship
defined by this horizontal branch model.
","[{""version"":""v1"",""created"":""Thu, 15 Mar 2007 19:10:54 GMT""},{""version"":""v2"",""created"":""Mon, 19 Mar 2007 16:14:23 GMT""}]","2009-11-13"
"astro-ph/0703398","Martin Lopez-Corredoira","M. Lopez-Corredoira","Bar-driven injection of intergalactic matter into galactic halos","12 pages, 9 figures, accepted to be published in A&A",,"10.1051/0004-6361:20066718",,"astro-ph",,"  AIMS. The non-conservative gravitational potential of barred galaxies, or of
any other non-axisymmetric structure, produces a loss of energy in infalling
particles of the intergalactic medium into the galaxy, which are trapped in its
potential. This dynamical friction can contribute towards increasing the total
mass of barred galaxies.
  METHODS. Analytical calculations of the energy loss are carried out using the
orbits of the particles derived numerically. Theoretical predictions are
compared with observations through the statistical analysis of the rotation
curves of barred and non-barred galaxies, either in cluster or field galaxies.
  RESULTS. There is a net effect of accretion, but it is normally very low in
relative terms. It is only significant (>10% of the total mass of the dark
matter halo in the life of the galaxy) if the density of the intergalactic
medium is higher than ~3e13 Msun/Mpc^3 (or considerably lower in cases of
motions of the galaxies close to the IGM average motion, or perpendicular to
the plane of the galaxy, or when the halo mass is low).
  Data on rotation curves do not show clear trends towards higher halo mass for
barred galaxies, only slight trends for early-type spiral galaxies. In any
case, the statistical uncertainties are limited to the detection of differences
in masses >~20%, so the effect of bar-driven injection of intergalactic matter
into galactic halos might be present with relative contributions to the average
mass of these barred galaxies lower than 20%.
","[{""version"":""v1"",""created"":""Thu, 15 Mar 2007 16:13:13 GMT""}]","2009-11-13"
"astro-ph/0703399","Anthony Remijan","J. M. Hollis, P. R. Jewell, Anthony J. Remijan, & F. J. Lovas","Non-Thermal Continuum toward SGRB2(N-LMH)","Accepted for Publication in the Astrophysical Journal Letters",,"10.1086/518124",,"astro-ph",,"  An analysis of continuum antenna temperatures observed in the Green Bank
Telescope (GBT) spectrometer bandpasses is presented for observations toward
SgrB2(N-LMH). Since 2004, we have identified four new prebiotic molecules
toward this source by means of rotational transitions between low energy
levels; concurrently, we have observed significant continuum in the GBT
spectrometer bandpasses centered at 85 different frequencies in the range of 1
to 48 GHz. The continuum heavily influences the molecular spectral features
since we have observed far more absorption lines than emission lines for each
of these new molecular species. Hence, it is important to understand the
nature, distribution, and intensity of the underlying continuum in the GBT
bandpasses for the purposes of radiative transfer, i.e. the means by which
reliable molecular abundances are estimated. We find that the GBT spectrometer
bandpass continuum is consistent with optically-thin, non thermal (synchrotron)
emission with a flux density spectral index of -0.7 and a Gaussian source size
of ~143"" at 1 GHz that decreases with increasing frequency as nu^(-0.52). Some
support for this model is provided by high frequency Very Large Array (VLA)
observations of SgrB2.
","[{""version"":""v1"",""created"":""Thu, 15 Mar 2007 16:30:10 GMT""}]","2009-11-13"
"astro-ph/0703400","Josefina Montalb\'an","J. Montalban, M.-A. Dupret","Effect of convective outer layers modeling on non-adiabatic seismic
  observables of delta Scuti stars","14 pag. 19 figs. accepted for publication in Astronomy and
  Astrophysics",,"10.1051/0004-6361:20066699",,"astro-ph",,"  The identification of pulsation modes in delta Scuti stars is mandatory to
constrain the theoretical stellar models. The non-adiabatic observables used in
the photometric identification methods depend, however,on convection modeling
in the external layers. Our aim is to determine how the treatment of convection
in the atmospheric and sub-atmospheric layers affects the mode identification,
and what information about the thermal structure of the external layers can be
obtained from amplitude ratios and phase lags in Str\""omgren photometric bands.
We derive non-adiabatic parameters for delta Scuti stars by using, for the
first time, stellar models with the same treatment of convection in the
interior and in the atmosphere. We compute classical non-gray mixing length
models, and as well non-gray ``Full Spectrum of Turbulence'' models.
Furthermore, we compute the photometric amplitudes and phases of pulsation by
using the colors and the limb-darkening coefficents as derived from the same
atmosphere models used in the stellar modeling. We show that the non-adiabatic
phase-lag is mainly sensitive to the thermal gradients in the external layers,
(and hence to the treatment of convection), and that this sensitivity is also
clearly reflected in the multi-color photometric phase differences.
","[{""version"":""v1"",""created"":""Thu, 15 Mar 2007 16:43:49 GMT""}]","2009-11-13"
"astro-ph/0703401","Annalisa Calamida","V. Castellani, A. Calamida, G. Bono (OAR/INAF), P. B. Stetson
  (DAO/HIA-NRC), L. M. Freyhammer (Univ. of Central Lancashire), S.
  Degl'Innocenti, P. Prada Moroni (Univ. Pisa), M. Monelli (IAC), C. E. Corsi,
  M. Nonino (INAF), and 10 coauthors","Star Counts in the Globular Cluster Omega Centauri. I. Bright Stellar
  Components","54 pages, 17 figures,to be published in ApJ, see link at
  http://stellari.wiki.zoho.com","Astrophys.J.663:1021-1039,2007","10.1086/518209",,"astro-ph",,"  We present an extensive photometry on HB, RGB, and MSTO stars in Omega Cen.
The central regions of the cluster were covered with a mosaic of F435W, F625W,
and F658N-band data collected with ACS/HST. The outer reaches were covered with
a large set of U,B,V,I-band data collected with the WFI@2.2m ESO/MPI telescope.
The final catalogue includes ~1.7 million stars. We identified ~3,200 likely HB
stars and ~12,500 stars brighter than the subgiant branch and fainter than the
RGB bumps. The HB morphology changes with the radial distance. The relative
number of extreme HB stars decreases from ~30% to ~21% when moving from the
center toward the outer regions of the cluster, while the fraction of less hot
HB stars increases from ~62% to ~72%. We performed a detailed comparison
between observed ratios of different stellar tracers and predictions based on
canonical evolutionary models with a primordial helium (Y=0.23) content and
metal abundances (Z=0.0002,0.001) that bracket the observed spread in
metallicity of Omega Cen stars. We found that the empirical star counts of HB
stars are on average larger (30%-40%) than predicted. Moreover, the rate of HB
stars is 43% larger than the MSTO rate. The discrepancy between the rate of HB
compared with the rate of RG and MSTO stars supports the evidence that we are
facing a true excess of HB stars. The same comparison was performed by assuming
a mix of stellar populations made with 70% of canonical stars and 30% of
He-enhanced stars. The discrepancy between theory and observations decreases by
a factor of two when compared with rates predicted by canonical He content
models, but still 15%-25% (Y=0.42) and 15%-20% (Y=0.33) higher than observed.
Furthermore, the ratio between HB and MSTO star counts are ~24% (Y=0.42) and
30% (Y=0.33) larger than predicted lifetime ratios.
","[{""version"":""v1"",""created"":""Thu, 15 Mar 2007 17:46:49 GMT""},{""version"":""v2"",""created"":""Fri, 16 Mar 2007 09:15:29 GMT""}]","2011-02-11"
"astro-ph/0703402","Josefina Montalb\'an","J.Montalban, A. Miglio, S. Theado","The convective envelope in gamma Doradus stars: theoretical
  uncertainties","2 pags. 1 fig. Poster in Vienna Workshop on the Future of
  Asteroseismology, September 20-22, 2006. To be published by CoAst",,"10.1553/cia150s137",,"astro-ph",,"  The depth of the convective envelope plays a fundamental role in the driving
mechanism proposed by Guzik et al. (2000) to explain the high-order g modes of
gamma Dor pulsators. In this poster we study the sensitivity of the convective
envelope depth to the description of convective transport, to relevant physical
processes, such as microscopic diffusion, and to other uncertainties in
theoretical stellar models.
","[{""version"":""v1"",""created"":""Thu, 15 Mar 2007 16:52:06 GMT""}]","2009-11-13"
"astro-ph/0703403","Guenter Sigl","Guenter Sigl (APC and IAP, Paris)","Non-Universal Spectra of Ultra-High Energy Cosmic Ray Primaries and
  Secondaries in a Structured Universe","9 revtex pages, 9 figures, published version, minor changes","Phys.Rev.D75:103001,2007","10.1103/PhysRevD.75.103001",,"astro-ph hep-ph",,"  Analytical calculations of extra-galactic cosmic ray spectra above ~10^17 eV
are often performed assuming continuous source distributions, giving rise to
spectra that depend little on the propagation mode, be it rectilinear or
diffusive. We perform trajectory simulations for proton primaries in the
probably more realistic case of discrete sources with a density of
~10^-5/Mpc^3. We find two considerable non-universal effects that depend on
source distributions and magnetic fields: First, the primary extra-galactic
cosmic ray flux can become strongly suppressed below a few 10^18 eV due to
partial confinement in magnetic fields surrounding sources. Second, the
secondary photon to primary cosmic ray flux ratio between ~3x10^18 eV and
~10^20 eV decreases with decreasing source density and increasing
magnetization. As a consequence, in acceleration scenarios for the origin of
highest energy cosmic rays the fraction of secondary photons may be difficult
to detect even for experiments such as Pierre Auger. The cosmogenic neutrino
flux does not significantly depend on source density and magnetization.
","[{""version"":""v1"",""created"":""Thu, 15 Mar 2007 17:00:32 GMT""},{""version"":""v2"",""created"":""Sat, 26 May 2007 17:37:30 GMT""}]","2008-11-26"
"astro-ph/0703404","Jozsef Benko","J.M. Benko, Z. Csubry","Variable Star Census in CoRoT ""Eyes""","18 pages, 5 figures, accepted by Acta Astron",,,,"astro-ph",,"  A complete catalogue of variable stars in the possible observing areas
(``eyes'') of the CoRoT satellite is presented. All known data sources were
cross-correlated and compiled confirming the variability of 81 stars formerly
known as suspected variables. By means of the TiFrAn program package a
comprehensive variability search was carried out on the NSVS (ROTSE-I) database
for the first time in these regions. This search has demonstrated the
effectiveness of TiFrAn as a tool for finding and analysing variable stars in
big databases. Our catalogue contains 4925 variable stars of which 1396 stars
are new discoveries. Also appended is a list of 198 suspected variable stars.
","[{""version"":""v1"",""created"":""Thu, 15 Mar 2007 17:08:44 GMT""}]","2007-05-23"
"astro-ph/0703405","Fiona McGroarty","F. McGroarty, T. P. Ray, D. Froebrich","Proper Motion Studies of Outflows from Classical T Tauri Stars","13 pages, 4 figures; accepted for publication in A&A. The resolution
  in the figures is very low, a high resolution version of this paper is
  available at http://physics.nuim.ie/staff/fmcgroarty.shtml",,"10.1051/0004-6361:20066863",,"astro-ph",,"  In a previous paper (McGroarty & Ray 2004, 420, 975) we examined the
environment of a number of evolved low-mass young stars, i.e. Classical T Tauri
Stars, to see if they are capable of driving parsec-scale outflows. These stars
- CW Tau, DG Tau, DO Tau, HV Tau C and RW Aur - were previously known to drive
only ""micro-jets"" or small-scale outflows of < 1' or 0.04 pc at the distance of
the Taurus-Auriga Cloud. We found that they drive outflows of 0.5pc - 1pc,
based on the morphology and alignment of newly discovered and previously known
HH objects with these sources and their ""micro-jets"". Here, we use a
cross-correlation method to determine the proper motions of the HH objects in
these five outflows (HH 220, HH 229, HH 702, HH 705 and HH 826 - HH 835) which
in turn allows us to confirm their driving sources. Moreover, the tangential
velocities of HH objects at large distances from their origin are currently
poorly known so these proper motions will allow us to determine how velocities
evolve with distance from their source. We find tangential velocities of
typically 200 kms^-1 for the more distant objects in these outflows.
Surprisingly, we find similar tangential velocities for the ""micro-jets"" that
are currently being ejected from these sources. This leads us to suggest that
either the outflow velocity was much higher 10^3 years ago when the more
distant objects were ejected and that these objects have decelerated to their
current velocity or that the outflow velocity at the source has remained
approximately constant and the more distant objects have not undergone
significant deceleration due to interactions with the ambient medium. Numerical
simulations are needed before we can decide between these scenarios.
","[{""version"":""v1"",""created"":""Thu, 15 Mar 2007 18:22:23 GMT""}]","2009-11-13"
"astro-ph/0703406","John Magorrian","John Magorrian","Grommet: an N-body code for high-resolution simulations of individual
  galaxies","10 pages, 7 figures. Simplified integrator updated to match published
  version","Mon.Not.Roy.Astron.Soc. 381 (2007) 1663-1671","10.1111/j.1365-2966.2007.12344.x",,"astro-ph",,"  This paper presents a fast, economical particle-multiple-mesh N-body code
optimized for large-N modelling of collisionless dynamical processes, such as
black-hole wandering or bar-halo interactions, occurring within isolated
galaxies. The code has been specially designed to conserve linear momentum.
Despite this, it also has variable softening and an efficient block-timestep
scheme: the force between any pair of particles is calculated using the finest
mesh that encloses them both (respecting Newton's third law) and is updated
only on the longest timestep of the two (which conserves momentum). For
realistic galaxy models with N > 10^6, it is faster than the fastest comparable
momentum-conserving tree code by a factor ranging from ~2 (using single
timesteps) to ~10 (multiple timesteps in a concentrated galaxy).
","[{""version"":""v1"",""created"":""Thu, 15 Mar 2007 19:23:51 GMT""},{""version"":""v2"",""created"":""Wed, 7 Nov 2007 15:54:46 GMT""}]","2007-11-07"
