"0704.0929","Hyun Seok Yang","Hyun Seok Yang","Noncommutative Electromagnetism As A Large N Gauge Theory","25 pages; More clarifications, to appear in Eur. Phys. J. C","Eur.Phys.J.C64:445-457,2009","10.1140/epjc/s10052-009-1117-9","HU-EP-07/12","hep-th gr-qc hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We map noncommutative (NC) U(1) gauge theory on R^d_C X R^{2n}_{NC} to U(N ->
\infty) Yang-Mills theory on R^d_C, where R^d_C is a d-dimensional commutative
spacetime while R^{2n}_{NC} is a 2n-dimensional NC space. The resulting U(N)
Yang-Mills theory on R^d_C is equivalent to that obtained by the dimensional
reduction of (d+2n)-dimensional U(N) Yang-Mills theory onto R^d_C. We show that
the gauge-Higgs system (A_\mu,\Phi^a) in the U(N -> \infty) Yang-Mills theory
on R^d_C leads to an emergent geometry in the (d+2n)-dimensional spacetime
whose metric was determined by Ward a long time ago. In particular, the
10-dimensional gravity for d=4 and n=3 corresponds to the emergent geometry
arising from the 4-dimensional N=4 vector multiplet in the AdS/CFT duality. We
further elucidate the emergent gravity by showing that the gauge-Higgs system
(A_\mu,\Phi^a) in half-BPS configurations describes self-dual Einstein gravity.
","[{""version"":""v1"",""created"":""Mon, 9 Apr 2007 19:54:16 GMT""},{""version"":""v2"",""created"":""Fri, 20 Apr 2007 15:54:21 GMT""},{""version"":""v3"",""created"":""Mon, 3 Aug 2009 02:53:10 GMT""}]","2009-11-05"
"0704.0936","Yuji Okawa","Yuji Okawa (DESY)","Analytic solutions for marginal deformations in open superstring field
  theory","17 pages, no figures; v2: the discussion on the reality condition
  corrected and expanded, a note on solutions satisfying the reality condition
  added; v3: a typo in (6.3) corrected, a reference added, minor changes","JHEP 0709:084,2007","10.1088/1126-6708/2007/09/084","DESY 07-047","hep-th",,"  We extend the calculable analytic approach to marginal deformations recently
developed in open bosonic string field theory to open superstring field theory
formulated by Berkovits. We construct analytic solutions to all orders in the
deformation parameter when operator products made of the marginal operator and
the associated superconformal primary field are regular.
","[{""version"":""v1"",""created"":""Mon, 9 Apr 2007 17:20:58 GMT""},{""version"":""v2"",""created"":""Tue, 17 Apr 2007 14:53:39 GMT""},{""version"":""v3"",""created"":""Tue, 4 Sep 2007 15:32:40 GMT""}]","2009-04-17"
"0704.0946","Andrei Mesinger","Andrei Mesinger and Steven Furlanetto","Efficient Simulations of Early Structure Formation and Reionization","13 pages, 10 figures; ApJ submitted",,"10.1086/521806",,"astro-ph",,"  We present a method to construct semi-numerical ``simulations'', which can
efficiently generate realizations of halo distributions and ionization maps at
high redshifts. Our procedure combines an excursion-set approach with
first-order Lagrangian perturbation theory and operates directly on the linear
density and velocity fields. As such, the achievable dynamic range with our
algorithm surpasses the current practical limit of N-body codes by orders of
magnitude. This is particularly significant in studies of reionization, where
the dynamic range is the principal limiting factor. We test our halo-finding
and HII bubble-finding algorithms independently against N-body simulations with
radiative transfer and obtain excellent agreement. We compute the size
distributions of ionized and neutral regions in our maps. We find even larger
ionized bubbles than do purely analytic models at the same volume-weighted mean
hydrogen neutral fraction. We also generate maps and power spectra of 21-cm
brightness temperature fluctuations, which for the first time include
corrections due to gas bulk velocities. We find that velocities widen the tails
of the temperature distributions and increase small-scale power, though these
effects quickly diminish as reionization progresses. We also include some
preliminary results from a simulation run with the largest dynamic range to
date: a 250 Mpc box that resolves halos with masses M >~ 2.2 x10^8 M_sun. We
show that accurately modeling the late stages of reionization requires such
large scales. The speed and dynamic range provided by our semi-numerical
approach will be extremely useful in the modeling of early structure formation
and reionization.
","[{""version"":""v1"",""created"":""Mon, 9 Apr 2007 19:40:39 GMT""}]","2009-11-13"
"0704.0984","Dimitris G. Angelakis","Sougato Bose, Dimitris G. Angelakis, Daniel Burgarth","Transfer of a Polaritonic Qubit through a Coupled Cavity Array","Contribution to Special Issue in Journal of Modern Optics celebrating
  the 60th birthday of Peter L. Knight","Journ. of Mod. Opt. vol. 54, 2307 (2007)","10.1080/09500340701515120",,"quant-ph",,"  We demonstrate a scheme for quantum communication between the ends of an
array of coupled cavities. Each cavity is doped with a single two level system
(atoms or quantum dots) and the detuning of the atomic level spacing and
photonic frequency is appropriately tuned to achieve photon blockade in the
array. We show that in such a regime, the array can simulate a dual rail
quantum state transfer protocol where the arrival of quantum information at the
receiving cavity is heralded through a fluorescence measurement. Communication
is also possible between any pair of cavities of a network of connected
cavities.
","[{""version"":""v1"",""created"":""Mon, 9 Apr 2007 19:00:30 GMT""}]","2015-05-13"
"0704.0991","Masahiko Egami","Masahiko Egami","A Direct Method for Solving Optimal Switching Problems of
  One-Dimensional Diffusions",,,,,"math.OC",,"  In this paper, we propose a direct solution method for optimal switching
problems of one-dimensional diffusions. This method is free from conjectures
about the form of the value function and switching strategies, or does not
require the proof of optimality through quasi-variational inequalities. The
direct method uses a general theory of optimal stopping problems for
one-dimensional diffusions and characterizes the value function as sets of the
smallest linear majorants in their respective transformed spaces.
","[{""version"":""v1"",""created"":""Mon, 9 Apr 2007 19:25:39 GMT""}]","2007-05-23"
"0704.0996","Gautam Sengupta","Anurag Sahay, Gautam Sengupta","Brane World Black Rings","22 pages, 1 figures, typos corrected, references added","JHEP 0706:006,2007","10.1088/1126-6708/2007/06/006","IITK/PHY/2007/84","hep-th",,"  Five dimensional neutral rotating black rings are described from a
Randall-Sundrum brane world perspective in the bulk black string framework. To
this end we consider a rotating black string extension of a five dimensional
black ring into the bulk of a six dimensional Randall-Sundrum brane world with
a single four brane. The bulk solution intercepts the four brane in a five
dimensional black ring with the usual curvature singularity on the brane. The
bulk geodesics restricted to the plane of rotation of the black ring are
constructed and their projections on the four brane match with the usual black
ring geodesics restricted to the same plane. The asymptotic nature of the bulk
geodesics are elucidated with reference to a bulk singularity at the AdS
horizon. We further discuss the description of a brane world black ring as a
limit of a boosted bulk black 2 brane with periodic identification.
","[{""version"":""v1"",""created"":""Mon, 9 Apr 2007 19:20:10 GMT""},{""version"":""v2"",""created"":""Fri, 13 Apr 2007 07:27:38 GMT""}]","2009-11-13"
"0704.0997","Dan Coman","Dan Coman and Evgeny A. Poletsky","Stable algebras of entire functions","11 pages",,,,"math.CV",,"  Suppose that $h$ and $g$ belong to the algebra $\B$ generated by the rational
functions and an entire function $f$ of finite order on ${\Bbb C}^n$ and that
$h/g$ has algebraic polar variety. We show that either $h/g\in\B$ or
$f=q_1e^p+q_2$, where $p$ is a polynomial and $q_1,q_2$ are rational functions.
In the latter case, $h/g$ belongs to the algebra generated by the rational
functions, $e^p$ and $e^{-p}$.
","[{""version"":""v1"",""created"":""Mon, 9 Apr 2007 19:56:55 GMT""}]","2007-05-23"
"0704.1021","Claus Gerhardt","Claus Gerhardt","Curvature estimates for Weingarten hypersurfaces in Riemannian manifolds","9 pages, v2:final version, to be published","Adv. Calc. Var. 1, 123--132 (2008)","10.1515/ACV.2008.004",,"math.DG",,"  We prove curvature estimates for general curvature functions. As an
application we show the existence of closed, strictly convex hypersurfaces with
prescribed curvature $F$, where the defining cone of $F$ is $\C_+$. $F$ is only
assumed to be monotone, symmetric, homogeneous of degree 1, concave and of
class $C^{m,\al}$, $m\ge4$.
","[{""version"":""v1"",""created"":""Mon, 9 Apr 2007 16:46:05 GMT""},{""version"":""v2"",""created"":""Fri, 25 Jan 2008 14:28:20 GMT""}]","2009-10-19"
"0704.1022","Timo Seppalainen","Firas Rassoul-Agha and Timo Seppalainen","Almost sure functional central limit theorem for non-nestling random
  walk in random environment","54 pages. Small edits in text",,,,"math.PR",,"  We consider a non-nestling random walk in a product random environment. We
assume an exponential moment for the step of the walk, uniformly in the
environment. We prove an invariance principle (functional central limit
theorem) under almost every environment for the centered and diffusively scaled
walk. The main point behind the invariance principle is that the quenched mean
of the walk behaves subdiffusively.
","[{""version"":""v1"",""created"":""Mon, 9 Apr 2007 19:32:49 GMT""},{""version"":""v2"",""created"":""Tue, 29 May 2007 18:29:45 GMT""}]","2007-06-13"
"0704.1064","A. Nihat Berker","Ozan S. Sariyer, A. Nihat Berker, and Michael Hinczewski","Excitation Spectrum Gap and Spin-Wave Stiffness of XXZ Heisenberg
  Chains: Global Renormalization-Group Calculation","New results added to text and figures. 12 pages, 18 figures, 3
  tables. Published version","Phys. Rev. B 77, 134413 (2008)","10.1103/PhysRevB.77.134413",,"cond-mat.stat-mech",,"  The anisotropic XXZ spin-1/2 Heisenberg chain is studied using
renormalization-group theory. The specific heats and nearest-neighbor spin-spin
correlations are calculated thoughout the entire temperature and anisotropy
ranges in both ferromagnetic and antiferromagnetic regions, obtaining a global
description and quantitative results. We obtain, for all anisotropies, the
antiferromagnetic spin-liquid spin-wave velocity and the Isinglike
ferromagnetic excitation spectrum gap, exhibiting the spin-wave to spinon
crossover. A number of characteristics of purely quantum nature are found: The
in-plane interaction s_i^x s_j^x + s_i^y s_j^y induces an antiferromagnetic
correlation in the out-of-plane s_i^z component, at higher temperatures in the
antiferromagnetic XXZ chain, dominantly at low temperatures in the
ferromagnetic XXZ chain, and, in-between, at all temperatures in the XY chain.
We find that the converse effect also occurs in the antiferromagnetic XXZ
chain: an antiferromagnetic s_i^z s_j^z interaction induces a correlation in
the s_i^xy component. As another purely quantum effect, (i) in the
antiferromagnet, the value of the specific heat peak is insensitive to
anisotropy and the temperature of the specific heat peak decreases from the
isotropic (Heisenberg) with introduction of either type (Ising or XY)
anisotropy; (ii) in complete contrast, in the ferromagnet, the value and
temperature of the specific heat peak increase with either type of anisotropy.
","[{""version"":""v1"",""created"":""Mon, 9 Apr 2007 19:05:01 GMT""},{""version"":""v2"",""created"":""Thu, 24 Apr 2008 06:07:03 GMT""}]","2009-11-13"
"0704.1087","Doron Cohen","Doron Cohen","EPR, Bell, Schrodinger's cat, and the Monty Hall Paradox","6 pages",,,,"quant-ph",,"  The purpose of this manuscript is to provide a short pedagogical explanation
why ""quantum collapse"" is not a metaphysical event, by pointing out the analogy
with a ""classical collapse"" which is associated with the Monty Hall Paradox.
","[{""version"":""v1"",""created"":""Mon, 9 Apr 2007 17:33:20 GMT""}]","2007-05-23"
"0704.1114","Travis S. Barman","T. S. Barman","Identification of Absorption Features in an Extrasolar Planet Atmosphere","Accepted for publication in ApJL., in emulate ApJ format","Astrophys.J.661:L191-L194,2007","10.1086/518736",,"astro-ph",,"  Water absorption is identified in the atmosphere of HD209458b by comparing
models for the planet's transmitted spectrum to recent, multi-wavelength,
eclipse-depth measurements (from 0.3 to 1 microns) published by Knutson et al.
(2007). A cloud-free model which includes solar abundances, rainout of
condensates, and photoionization of sodium and potassium is in good agreement
with the entire set of eclipse-depth measurements from the ultraviolet to
near-infrared. Constraints are placed on condensate removal by gravitational
settling, the bulk metallicity, and the redistribution of absorbed stellar
flux. Comparisons are also made to the Charbonneau et al. (2002) sodium
measurements.
","[{""version"":""v1"",""created"":""Mon, 9 Apr 2007 20:13:36 GMT""}]","2014-11-18"
