"0709.3519","Iain W. Stewart","Andre H. Hoang, Iain W. Stewart","Designing Gapped Soft Functions for Jet Production","17 pages, 5 figures","Phys.Lett.B660:483-493,2008","10.1016/j.physletb.2008.01.040","MIT-CTP 3792, MPP-2007-135","hep-ph hep-th nucl-th",,"  Distributions in jet production often depend on a soft function, S, which
describes hadronic radiation between the jets. Near kinematic thresholds S
encodes nonperturbative information, while far from thresholds S can be
computed with an operator product expansion (OPE). We design soft functions for
jets that serve this dual purpose, reducing to the perturbative result in the
OPE region and to a consistent model in the nonperturbative region. We use the
MSbar scheme, and in both regions S displays the appropriate renormalization
group scale dependence. We point out that viable soft function models should
have a gap associated with the minimum hadronic energy deposit. This gap is
connected to the leading O(Lambda_QCD) renormalon ambiguity in jet event
shapes. By defining the gap in a suitable scheme we demonstrate that the
leading renormalon can be eliminated. This improves the convergence of
perturbative results, and also the stability by which non-perturbative
parameters encode the underlying soft physics.
","[{""version"":""v1"",""created"":""Mon, 24 Sep 2007 15:47:22 GMT""}]","2008-11-26"
"0709.3532","Adam R. Brown","Adam R. Brown","Brane tunneling and virtual brane-antibrane pairs","v2: fixed 10-year-old typo","PoS Cargoes 2007:022",,,"hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We survey barrier penetration by quantum tunneling for four cases:
nonrelativistic point particles, scalar fields, relativistic point particles,
and DBI branes. We examine two novel features that arise for DBI brane
tunneling: the rate can sometimes increase as the barrier gets higher; and the
instanton ""wrinkles"". We show that these features can be understood as the
effect of the quantum sea of virtual brane-antibrane pairs. This sea
exponentially augments the decay rate, with possible cosmological consequences.
","[{""version"":""v1"",""created"":""Mon, 24 Sep 2007 15:29:16 GMT""},{""version"":""v2"",""created"":""Sun, 24 Sep 2017 15:29:16 GMT""}]","2017-09-26"
"0709.3533","Ognyan Oreshkov","Ognyan Oreshkov","Robustness of operator quantum error correction with respect to
  initialization errors","8 pages, no figures","Phys. Rev. A 77, 032333 (2008)","10.1103/PhysRevA.77.032333",,"quant-ph",,"  In the theory of operator quantum error correction (OQEC), the notion of
correctability is defined under the assumption that states are perfectly
initialized inside a particular subspace, a factor of which (a subsystem)
contains the protected information. If the initial state of the system does not
belong entirely to the subspace in question, the restriction of the state to
the otherwise correctable subsystem may not remain invariant after the
application of noise and error correction. It is known that in the case of
decoherence-free subspaces and subsystems (DFSs) the condition for perfect
unitary evolution inside the code imposes more restrictive conditions on the
noise process if one allows imperfect initialization. It was believed that
these conditions are necessary if DFSs are to be able to protect imperfectly
encoded states from subsequent errors. By a similar argument, general OQEC
codes would also require more restrictive error-correction conditions for the
case of imperfect initialization. In this study, we examine this requirement by
looking at the errors on the encoded state. In order to quantitatively analyze
the errors in an OQEC code, we introduce a measure of the fidelity between the
encoded information in two states for the case of subsystem encoding. A major
part of the paper concerns the definition of the measure and the derivation of
its properties. In contrast to what was previously believed, we obtain that
more restrictive conditions are not necessary neither for DFSs nor for general
OQEC codes. This is because the effective noise that can arise inside the code
as a result of imperfect initialization is such that it can only increase the
fidelity of an imperfectly encoded state with a perfectly encoded one.
","[{""version"":""v1"",""created"":""Mon, 24 Sep 2007 09:00:13 GMT""},{""version"":""v2"",""created"":""Sat, 15 Dec 2007 20:46:17 GMT""},{""version"":""v3"",""created"":""Sat, 22 Mar 2008 18:18:17 GMT""}]","2008-08-24"
"0709.3546","Ashvin Vishwanath","Fa Wang, Ashvin Vishwanath","Spin phonon induced colinear order and magnetization plateaus in
  triangular and kagome antiferromagnets. Applications to CuFeO_2","5 pages, 4 figures","Phys. Rev. Lett. 100, 077201 (2008)","10.1103/PhysRevLett.100.077201",,"cond-mat.str-el cond-mat.mtrl-sci",,"  Coupling between spin and lattice degrees of freedom are important in
geometrically frustrated magnets where they can lead to degeneracy lifting and
novel orders. We show that moderate spin-lattice couplings in triangular and
Kagome antiferromagnets can induce complex colinear magnetic orders. When
classical Heisenberg spins on the triangular lattice are coupled to Einstein
phonons, a rich variety of phases emerge, including the experimentally observed
four sublattice state and the five sublattice 1/5th plateau state seen in the
magneto-electric material CuFeO$_2$. In addition we predict magnetization
plateaus at 1/3, 3/7, 1/2, 3/5 and 5/7 at these couplings. Strong spin-lattice
couplings induce a striped colinear state, seen in $\alpha$-NaFeO$_2$ and
MnBr$_2$. On the Kagome lattice, moderate spin-lattice couplings induce
colinear order, but an extensive degeneracy remains.
","[{""version"":""v1"",""created"":""Mon, 24 Sep 2007 06:21:50 GMT""}]","2008-02-20"
"0709.3549","Luis Vieira antonio","Luis Vieira","Euclidean Jordan Algebras and Generalized Krein parameters of a strongly
  regular graph","19 pages",,,,"math.CO",,"  Let $\tau$ be a strongly $(n,p;a,c)$ regular graph,such that $0<c<p<n-1,$ $A$
his matrix of adjacency and let ${\cal V}_{n}$ be the Euclidean space spanned
by the powers of $A$ over the reals where the scallar product $\bullet|\bullet$
is defined by $x|y={trace}(x \cdot y).$ In this work ones proves that ${\cal
V}_{n}$ is an Euclidean Jordan algebra of rank 3 when one introduces in ${\cal
V}_{n}$ the usual product of matrices. In this Euclidean Jordan algebra one
defines the modulus of a matrix, and afterwards one defines $|A|^x \forall x\in
\mathbb{R}.$ Working inside the Euclidean Jordan algebra ${\cal V}_{n}$ and
making use of the properties of $|A|^x$ one defines the generalized krein
parameters of the strongly $(n,p;a,c)$ regular graph $\tau$ and finally one
presents necessary conditions over the parameters and the spectra of the $\tau$
strongly $(n,p;a,c)$ regular graph.
","[{""version"":""v1"",""created"":""Sun, 23 Sep 2007 22:58:03 GMT""},{""version"":""v2"",""created"":""Thu, 29 Nov 2007 23:34:43 GMT""},{""version"":""v3"",""created"":""Sat, 15 Dec 2007 18:22:45 GMT""},{""version"":""v4"",""created"":""Tue, 18 Dec 2007 23:44:35 GMT""},{""version"":""v5"",""created"":""Wed, 26 Mar 2008 16:47:38 GMT""}]","2008-03-26"
"0709.3560","Yeong-Shyeong Tsai","Yeong-Shyeong Tsai, Ying-Lin Hsu and Mung-Chung Shung","On The Density Estimation by Super-Parametric Method","In this paper, new aspproaches od density estimation are studied. The
  B-spline estimatos and the Berzier spline are stdudied carfully. The
  consistency of the Bezier spline estimator is studied as well. There are 17
  pages including 6 figures",,,,"stat.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The super-parametric density estimators and its related algorism were
suggested by Y. -S. Tsai et al [7]. The number of parameters is unlimited in
the super- parametric estimators and it is a general theory in sense of
unifying or connecting nonparametric and parametric estimators. Before applying
to numerical examples, we can not give any comment of the estimators. In this
paper, we will focus on the implementation, the computer programming, of the
algorism and strategies of choosing window functions. B-splines, Bezier splines
and covering windows are studied as well. According to the criterion of the
convergence conditions for Parzen window, the number of the window functions
shall be, roughly, proportional to the number of samples and so is the number
of the variables. Since the algorism is designed for solving the optimization
of likelihood function, there will be a set of nonlinear equations with a large
number of variables. The results show that algorism suggested by Y. -S. Tsai is
very powerful and effective in the sense of mathematics, that is, the iteration
procedures converge and the rates of convergence are very fast. Also, the
numerical results of different window functions show that the approach of
super-parametric density estimators has ushered a new era of statistics.
","[{""version"":""v1"",""created"":""Mon, 24 Sep 2007 04:55:59 GMT""},{""version"":""v2"",""created"":""Mon, 1 Oct 2007 10:08:56 GMT""},{""version"":""v3"",""created"":""Wed, 3 Oct 2007 03:40:43 GMT""},{""version"":""v4"",""created"":""Fri, 5 Oct 2007 04:50:31 GMT""},{""version"":""v5"",""created"":""Mon, 15 Oct 2007 14:04:20 GMT""},{""version"":""v6"",""created"":""Tue, 16 Oct 2007 03:42:34 GMT""},{""version"":""v7"",""created"":""Fri, 7 Nov 2008 18:57:05 GMT""}]","2008-11-07"
"0709.3590","Jesse Gilbert D","Jesse Gilbert","An extension of a result concerning convex geometric graphs","This paper has been withdrawn by the author. This paper was presented
  at Discrete Math Days in Fort Collins Colorado",,,,"cs.DM","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We show a general result known as the Erdos_Sos Conjecture: if
$E(G)>{1/2}(k-1)n$ where $G$ has order $n$ then $G$ contains every tree of
order $k+1$ as a subgraph.
","[{""version"":""v1"",""created"":""Mon, 24 Sep 2007 07:21:25 GMT""},{""version"":""v2"",""created"":""Tue, 25 Sep 2007 13:12:46 GMT""},{""version"":""v3"",""created"":""Tue, 25 Sep 2007 20:15:33 GMT""},{""version"":""v4"",""created"":""Tue, 16 Sep 2008 16:55:37 GMT""},{""version"":""v5"",""created"":""Thu, 29 Jul 2010 20:46:06 GMT""}]","2010-08-02"
"0709.3622","Garrelt Mellema","A. Pepli\'nski (1), P. Artymowicz (2), G. Mellema (1) ((1) Stockholm
  Observatory, (2) Univ of Toronto at Scarborough)","Numerical simulations of the type III migration:I. Disc model and
  convergence tests","17 pages, 15 figures, submitted to MNRAS. Comments welcome",,"10.1111/j.1365-2966.2008.13045.x",,"astro-ph",,"  We investigate the fast (type III) migration regime of high-mass protoplanets
orbiting in protoplanetary disks. This type of migration is dominated by
corotational torques. We study the details of flow structure in the planet's
vicinity, the dependence of migration rate on the adopted disc model, and the
numerical convergence of models (independence of certain numerical parameters
such as gravitational softening). We use two-dimensional hydrodynamical
simulations with adaptive mesh refinement,based on the FLASH code with improved
time-stepping scheme. We perform global disk simulations with sufficient
resolution close to the planet, which is allowed to freely move throughout the
grid. We employ a new type of equation of state in which the gas temperature
depends on both the distance to the star and planet, and a simplified
correction for self-gravity of the circumplanetary gas. We find that the
migration rate in the type III migration regime depends strongly on the gas
dynamics inside the Hill sphere (Roche lobe of the planet) which, in turn, is
sensitive to the aspect ratio of the circumplanetary disc. Furthermore,
corrections due to the gas self-gravity are necessary to reduce numerical
artifacts that act against rapid planet migration. Reliable numerical studies
of Type III migration thus require consideration of both the thermal andthe
self-gravity corrections, as well as a sufficient spatial resolution and the
calculation of disk-planet attraction both inside and outside the Hill sphere.
With this proviso, we find Type III migration to be a robust mode of migration,
astrophysically promising because of a speed much faster than in the previously
studied modes of migration.
","[{""version"":""v1"",""created"":""Mon, 24 Sep 2007 12:59:06 GMT""}]","2009-11-13"
"0709.3647","Miguel Sanchis","Miguel-Angel Sanchis-Lozano","A light non-standard Higgs boson: to be or not to be at a (Super) B
  factory?","Latex, 4 pages, 4 figures. Submitted for the SUSY07 proceedings",,,"FTUV/07-0923","hep-ph",,"  A light non-standard Higgs boson decaying mainly into $\tau^+\tau^-$ has not
been yet ruled out by LEP searches in several scenarios. We verify that, in the
context of the Next-to-Minimal-Supersymmetric Standard Model, a low-mass CP-odd
(mostly but not completely singlet-like) Higgs boson can couple strongly enough
to down-type fermions to be detected in radiative $\Upsilon$ decays into
tauonic pairs at a high-luminosity B factory. Possible spectroscopic effects of
a mixing with $\eta_b$ resonances are also analyzed
","[{""version"":""v1"",""created"":""Mon, 24 Sep 2007 11:21:14 GMT""},{""version"":""v2"",""created"":""Wed, 26 Sep 2007 14:18:04 GMT""}]","2007-09-26"
"0709.3648","Giovanni Coppola","Giovanni Coppola","On the Correlations, Selberg Integral and Symmetry of Sieve Functions in
  Short Intervals","Plain TeX; typos added","J. Comb. Number Theory 2(2) (2010), 91-105",,,"math.NT",,"  We study the arithmetic (real) function f=g*1, with g ""essentially bounded""
and supported over the integers of [1,Q]. In particular, we obtain non-trivial
bounds, through f ""correlations"", for the ""Selberg integral"" and the ""symmetry
integral"" of f in almost all short intervals [x-h,x+h], N<x<2N, beyond the
""classical"" level, up to level of distribution, say, lambda=log Q/log N < 2/3
(for enough large h). This time we don't apply Large Sieve inequality, as in
our paper [C-S]. Precisely, our method is completely elementary.
","[{""version"":""v1"",""created"":""Sun, 23 Sep 2007 16:54:09 GMT""},{""version"":""v2"",""created"":""Sun, 30 Sep 2007 17:30:38 GMT""},{""version"":""v3"",""created"":""Mon, 31 Dec 2007 23:50:57 GMT""}]","2011-08-25"
"0709.3649","Xiang-Song Chen","X.S. Chen, X.F. L\""u, W.M. Sun, F. Wang, and T. Goldman","Spin and orbital angular momentum in gauge theories (I): QED and
  determination of the angular momentum density","3 pages, no figure; in series with ``Spin and orbital angular
  momentum in gauge theories (II): QCD and nucleon spin structure'',
  arXiv:0709.1284[hep-ph]",,,,"hep-ph",,"  This two-paper series addresses and fixes the long-standing gauge invariance
problem of angular momentum in gauge theories. This QED part reveals: 1) The
spin and orbital angular momenta of electrons and photons can all be
consistently defined gauge invariantly. 2) These gauge-invariant quantities can
be conveniently computed via the canonical, gauge-dependent operators (e.g,
$\psi ^\dagger \vec x \times\frac 1i \vec \nabla \psi$) in the Coulomb gauge,
which is in fact what people (unconsciously) do in atomic physics. 3) The
renowned formula $\vec x\times(\vec E\times\vec B)$ is a wrong density for the
electromagnetic angular momentum. The angular distribution of angular-momentum
flow in polarized atomic radiation is properly described not by this formula,
but by the gauge invariant quantities defined here. The QCD paper
[arXiv:0907.1284] will give a non-trivial generalization to non-Abelian gauge
theories, and discuss the connection to nucleon spin structure.
","[{""version"":""v1"",""created"":""Sun, 23 Sep 2007 17:16:19 GMT""}]","2007-09-25"
