"0710.0873","Joseph Conlon","Joseph P. Conlon","Mirror Mediation","33 pages, 1 figure; v2: typos, references, minor corrections","JHEP 0803:025,2008","10.1088/1126-6708/2008/03/025","DAMTP-2007-86","hep-th hep-ph",,"  I show that the effective action of string compactifications has a structure
that can naturally solve the supersymmetric flavour and CP problems. At leading
order in the g_s and \alpha' expansions, the hidden sector factorises. The
moduli space splits into two mirror parts that depend on Kahler and complex
structure moduli. Holomorphy implies the flavour structure of the Yukawa
couplings arises in only one part. In type IIA string theory flavour arises
through the Kahler moduli sector and in type IIB flavour arises through the
complex structure moduli sector. This factorisation gives a simple solution to
the supersymmetric flavour and CP problems: flavour physics is generated in one
sector while supersymmetry is broken in the mirror sector. This mechanism does
not require the presence of gauge, gaugino or anomaly mediation and is
explicitly realised by phenomenological models of IIB flux compactifications.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2007 16:12:25 GMT""},{""version"":""v2"",""created"":""Tue, 9 Oct 2007 14:53:08 GMT""}]","2009-06-10"
"0710.0876","J. E. Hirsch","J. E. Hirsch","Spin Meissner Effect in Superconductors and the Origin of the Meissner
  Effect","Interpretation of type I vs. type II behavior added (fig. 2)","Europhys. Lett. 81, 67003 (2008)","10.1209/0295-5075/81/67003",,"cond-mat.supr-con cond-mat.str-el",,"  We propose a dynamical explanation of the Meissner effect in superconductors
and predict the existence of a spin Meissner effect: that a macroscopic spin
current flows within a London penetration depth $\lambda_L$ of the surface of
superconductors in the absence of applied external fields, with carrier density
= the superfluid density and carrier speed $v=\hbar/(4m_e\lambda_L$)
($m_e=$bare electron mass). The two members of a Cooper pair circulate in
orbits of radius $2\lambda_L$ in opposite direction and the spin current in a
Cooper pair has orbital angular momentum $\hbar$. Our description also provides
a 'geometric' interpretation of the difference between type I and type II
superconductors.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2007 16:19:59 GMT""},{""version"":""v2"",""created"":""Wed, 21 Nov 2007 17:49:04 GMT""}]","2008-03-02"
"0710.0900","Wei Kang","Wei Kang and Sennur Ulukus","A New Achievability Scheme for the Relay Channel","23 pages, 1 figure, submitted to IEEE Trans. on Information Theory",,,,"cs.IT math.IT",,"  In this paper, we propose a new coding scheme for the general relay channel.
This coding scheme is in the form of a block Markov code. The transmitter uses
a superposition Markov code. The relay compresses the received signal and maps
the compressed version of the received signal into a codeword conditioned on
the codeword of the previous block. The receiver performs joint decoding after
it has received all of the B blocks. We show that this coding scheme can be
viewed as a generalization of the well-known Compress-And-Forward (CAF) scheme
proposed by Cover and El Gamal. Our coding scheme provides options for
preserving the correlation between the channel inputs of the transmitter and
the relay, which is not possible in the CAF scheme. Thus, our proposed scheme
may potentially yield a larger achievable rate than the CAF scheme.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2007 19:44:49 GMT""}]","2007-10-05"
"0710.0994","Chaehyun Yu","Geoffrey T. Bodwin (Argonne), Hee Sok Chung, Daekyoung Kang, Jungil
  Lee, Chaehyun Yu (Korea U.)","Improved determination of color-singlet nonrelativistic QCD matrix
  elements for S-wave charmonium","31 pages, minor corrections, version published in Phys. Rev. D","Phys.Rev.D77:094017,2008","10.1103/PhysRevD.77.094017","ANL-HEP-PR-07-48","hep-ph",,"  We present a new computation of S-wave color-singlet nonrelativistic QCD
matrix elements for the J/psi and the eta_c. We compute the matrix elements of
leading order in the heavy-quark velocity v and the matrix elements of relative
order v^2. Our computation is based on the electromagnetic decay rates of the
J/psi and the eta_c and on a potential model that employs the Cornell
potential. We include relativistic corrections to the electromagnetic decay
rates, resumming a class of corrections to all orders in v, and find that they
significantly increase the values of the matrix elements of leading order in v.
This increase could have important implications for theoretical predictions for
a number of quarkonium decay and production processes. The values that we find
for the matrix elements of relative order v^2 are somewhat smaller than the
values that one obtains from estimates that are based on the velocity-scaling
rules of nonrelativistic QCD.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2007 18:16:38 GMT""},{""version"":""v2"",""created"":""Sat, 24 Nov 2007 09:57:32 GMT""},{""version"":""v3"",""created"":""Mon, 26 May 2008 07:15:59 GMT""}]","2008-11-26"
"0710.1036","Dirk Schulze-Makuch","Dirk Schulze-Makuch, Carol Turse, Joop Houtkooper, and Chris McKay","Testing the Hydrogen Peroxide-Water Hypothesis for Life on Mars with the
  TEGA instrument on the Phoenix Lander","11 pages and 3 figures",,"10.1089/ast.2007.0216",,"physics.bio-ph physics.chem-ph",,"  Since Viking has conducted its life detection experiments on Mars, many
missions have enhanced our knowledge about the environmental conditions on the
Red Planet. However, the Martian surface chemistry and the Viking lander
results remain puzzling. Non-biological explanations that favor a strong
inorganic oxidant are currently favored (e.g., Mancinelli, 1989; Quinn and
Zent, 1999; Klein, 1999, Yen et al., 2000), but problems remain regarding the
life time, source, and abundance of that oxidant to account for the Viking
observations (Zent and McKay, 1994). Alternatively, a hypothesis favoring the
biological origin of a strong oxidizer has recently been advanced (Houtkooper
and Schulze-Makuch, 2007). Here, we report about laboratory experiments that
simulate the experiments to be conducted by the Thermal and Evolved Gas
Analyzer (TEGA) instrument of the Phoenix lander, which is to descend on Mars
in May 2008. Our experiments provide a baseline for an unbiased test for
chemical versus biological responses, which can be applied at the time the
Phoenix Lander transmits its first results from the Martian surface.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2007 16:15:22 GMT""}]","2009-11-13"
"0710.1039","Kevin Belkacem K. B","K. Belkacem, R. Samadi, M.J. Goupil and M.A. Dupret","Stochastic excitation of non-radial modes I. High-angular-degree p modes","12 pages, accepted for publication in A&A",,"10.1051/0004-6361:20077775",,"astro-ph",,"  Turbulent motions in stellar convection zones generate acoustic energy, part
of which is then supplied to normal modes of the star. Their amplitudes result
from a balance between the efficiencies of excitation and damping processes in
the convection zones. We develop a formalism that provides the excitation rates
of non-radial global modes excited by turbulent convection. As a first
application, we estimate the impact of non-radial effects on excitation rates
and amplitudes of high-angular-degree modes which are observed on the Sun. A
model of stochastic excitation by turbulent convection has been developed to
compute the excitation rates, and it has been successfully applied to solar
radial modes (Samadi & Goupil 2001, Belkacem et al. 2006b). We generalize this
approach to the case of non-radial global modes. This enables us to estimate
the energy supplied to high-($\ell$) acoustic modes. Qualitative arguments as
well as numerical calculations are used to illustrate the results. We find that
non-radial effects for $p$ modes are non-negligible:
  - for high-$n$ modes (i.e. typically $n > 3$) and for high values of $\ell$;
the power supplied to the oscillations depends on the mode inertia.
  - for low-$n$ modes, independent of the value of $\ell$, the excitation is
dominated by the non-diagonal components of the Reynolds stress term. We
carried out a numerical investigation of high-$\ell$ $p$ modes and we find that
the validity of the present formalism is limited to $\ell < 500$ due to the
spatial separation of scale assumption. Thus, a model for very high-$\ell$
$p$-mode excitation rates calls for further theoretical developments, however
the formalism is valid for solar $g$ modes, which will be investigated in a
paper in preparation.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2007 16:04:28 GMT""}]","2009-11-13"
"0710.1040","Stefano Bagnulo","G.P. Tozzi, H. Boehnhardt, L. Kolokolova, T. Bonev, E. Pompei, S.
  Bagnulo, N. Ageorges, L. Barrera, O. Hainaut, H.U. Kaeufl, F. Kerber, G.
  LoCurto, O. Marco, E. Pantin, H. Rauer, I. Saviane, C. Sterken, M. Weiler","Dust observations of Comet 9P/Tempel 1 at the time of the Deep Impact","Accepted by A&A",,"10.1051/0004-6361:20077615",,"astro-ph",,"  On 4 July 2005 at 05:52 UT, the impactor of NASA's Deep Impact (DI) mission
crashed into comet 9P/Tempel 1 with a velocity of about 10 km/s. The material
ejected by the impact expanded into the normal coma, produced by ordinary
cometary activity.
  The characteristics of the non-impact coma and cloud produced by the impact
were studied by observations in the visible wavelengths and in the near-IR. The
scattering characteristics of the ""normal"" coma of solid particles were studied
by comparing images in various spectral regions, from the UV to the near-IR.
  For the non-impact coma, a proxy of the dust production has been measured in
various spectral regions. The presence of sublimating grains has been detected.
Their lifetime was found to be about 11 hours. Regarding the cloud produced by
the impact, the total geometric cross section multiplied by the albedo was
measured as a function of the color and time. The projected velocity appeared
to obey a Gaussian distribution with the average velocity of the order of 115
m/s. By comparing the observations taken about 3 hours after the impact, we
have found a strong decrease in the cross section in J filter, while that in Ks
remained almost constant. This is interpreted as the result of sublimation of
grains dominated by particles of sizes of the order of some microns.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2007 16:06:02 GMT""}]","2009-11-13"
"0710.1041","David Grynkiewicz","David J. Grynkiewicz","A Step Beyond Kemperman's Structure Theorem",,,,,"math.CO math.NT",,"  A classical result of Kemperman gives a complete recursive description of the
structure of those subsets $A$ and $B$ of an abelian group that fail to satisfy
the triangle inequality, i.e., $|A+B|<|A|+|B|$. In this paper, we achieve the
complete description in the case when equality holds: $|A+B|=|A|+|B|$.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2007 16:06:13 GMT""}]","2007-10-05"
"0710.1042","Piotr Dacko","Piotr Dacko","On three dimensional conformally flat almost cosymplectic manifolds",,,,,"math.DG",,"  In the paper there are described new examples of conformally flat three
dimensional almost cosymplectic manifolds. All these manifolds form a class
which was completely characterized.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2007 16:06:47 GMT""}]","2007-10-05"
"0710.1043","Elena Jimenez-Bailon","E. Jimenez-Bailon (IA-UNAM), M. Guainazzi (ESAC-ESA), G. Matt (Roma
  Tre University), S. Bianchi (Roma Tre University), Y. Krongold (IA-UNAM),
  E.Piconcelli (Obs. Roma), M. Santos-Lleo (ESAC-ESA), N. Schartel (ESAC-ESA)","X-ray properties of a sample of polar-scattered Seyfert galaxies","Proceeding of ""The nuclear region, host galaxy and environment of
  active galaxies"", symposium for the 60th birthday of Deborah Dultzin-Hacyan,
  held in Huatulco April 18-20, 2007",,,,"astro-ph",,"  We present the results on an XMM-Newton systematic analysis of a sample of
nine Seyfert 1 galaxies. When observed in polarised light, the spectra of the
selected sources are similar to those of Seyfert 2 galaxies. This peculiarity
strongly suggests that these AGN are viewed with an inclination comparable with
the torus opening angle. Our results are consistent with this scenario and,
taking advantage of this favourable geometrical condition, we were able to
investigate in detail the physical properties and the distribution of the
circumnuclear gas in these sources.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2007 16:17:40 GMT""}]","2007-10-05"
"0710.1044","Peihong Gu","Pei-Hong Gu","Unified picture for Dirac neutrinos, dark matter, dark energy and
  matter-antimatter asymmetry","5 pages, 3 figures. Title changed. Abstract, introduction and summary
  revised. References added. Model and conclusion unchanged","Phys.Lett.B661:290-294,2008","10.1016/j.physletb.2008.02.030",,"hep-ph",,"  We propose a unified scenario to generate the masses of Dirac neutrinos and
cold dark matter at the TeV scale, understand the origin of dark energy and
explain the matter-antimatter asymmetry of the universe. This model can lead to
significant impact on the Higgs searches at LHC.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2007 18:30:08 GMT""},{""version"":""v2"",""created"":""Tue, 16 Oct 2007 13:48:48 GMT""},{""version"":""v3"",""created"":""Sat, 27 Oct 2007 15:28:31 GMT""}]","2008-11-26"
