"0710.1298","David Lehavi","I. Dolgachev and D. Lehavi","On isogenous principally polarized abelian surfaces","23 pages. corrected typos","AMS contemp. math. series, volume 465 (2008): Curves and abelian
  varieties, p 51-69.",,,"math.AG",,"  We study a relationship between two genus 2 curves whose jacobians are
isogenous with kernel equal to a maximal isotropic subspace of p-torsion points
with respect to the Weil pairing. For p = 3 we find an explicit relationship
between the set of Weierstrass points of the two curves extending the classical
results of F. Richelot (1837) and G. Humbert (1901) in the case p = 2.
","[{""version"":""v1"",""created"":""Sun, 7 Oct 2007 20:45:51 GMT""},{""version"":""v2"",""created"":""Fri, 4 Jan 2008 05:23:40 GMT""},{""version"":""v3"",""created"":""Sat, 8 Mar 2008 19:59:25 GMT""}]","2010-04-06"
"0710.1300","Anthony Hall","Anthony Hall","Massive Quark-Gluon Scattering Amplitudes at Tree Level","24 pages, 6 figures","Phys.Rev.D77:025011,2008","10.1103/PhysRevD.77.025011",,"hep-ph",,"  Results for four-, five-, and six-parton tree amplitudes for massive
quark-antiquark scattering with gluons are calculated using the recursion
relations of Britto, Cachazo, Feng, and Witten. The required diagrams are
generated using shifts of the momenta of a pair of massless legs to complex
values. Checks verifying the calculations are described, and a simple formula
for the shifted spinors of an internal gluon is presented.
","[{""version"":""v1"",""created"":""Mon, 8 Oct 2007 07:19:37 GMT""}]","2008-11-26"
"0710.1304","Sergio Lukic","Sergio Lukic","Balanced metrics and noncommutative Kaehler geometry","18 pages, 10 figures, Latex",,,,"hep-th math-ph math.DG math.MP","http://creativecommons.org/licenses/by/3.0/","  In this paper we show how Einstein metrics are naturally described using the
quantization of the algebra of functions on a Kahler manifold M. In this setup
one interprets M as the phase space itself, equipped with the Poisson brackets
inherited from the Kahler 2-form. We compare the geometric quantization
framework with several deformation quantization approaches. We find that the
balanced metrics appear naturally as a result of setting the vacuum energy to
be the constant function on the moduli space of semiclassical vacua. In the
classical limit these metrics become Kahler-Einstein (when M admits such
metrics). Finally, we sketch several applications of this formalism, such as
explicit constructions of special Lagrangian submanifolds in compact Calabi-Yau
manifolds.
","[{""version"":""v1"",""created"":""Mon, 8 Oct 2007 14:25:24 GMT""},{""version"":""v2"",""created"":""Wed, 29 Sep 2010 14:31:47 GMT""}]","2010-09-30"
"0710.1360","Stephen Semmes","Stephen Semmes","Complementary self-similarity","4 pages, latex-2e",,,,"math.CA",,"  A few aspects of self-similarity related to complementary components of
closed subsets of R^n are briefly discussed.
","[{""version"":""v1"",""created"":""Mon, 8 Oct 2007 13:32:07 GMT""}]","2007-10-09"
"0710.1369","Zhijian Wang","Wang Zhijian","Consequence of doping in spatiotemporal rock-paper-scissors games","4 Pages, 4 Figure",,,"ICSSZJU20071006","nlin.AO q-bio.PE",,"  What determines species diversity is dramatic concern in science. Here we
report the effect of doping on diversity in spatiotemporal rock-paper-scissors
(RPS) games, which can be observed directly in ecological, biological and
social systems in nature. Doping means that there exists some buffer patches
which do not involve the main procession of the conflicts but occupied the game
space. Quantitative lattices simulation finds that (1) decrease of extinction
possibility is exponential dependent on the increase of doping rate, (2) the
possibility of the conflict is independent of doping rate at well mix evolution
beginning, and is buffered by doping in long time coexistence procession.
Practical meaning of doping are discussed. To demonstrate the importance of
doping, we present one practical example for microbial laboratory efficient
operation and one theoretical example for human-environment co-existence system
better understanding. It suggests that, for diversity, doping can not be
neglected.
","[{""version"":""v1"",""created"":""Sun, 7 Oct 2007 17:58:49 GMT""}]","2007-10-11"
"0710.1378","Raymond Chiao Y.","Raymond Y. Chiao","Generation and detection of gravitational waves at microwave frequencies
  by means of a superconducting two-body system","12 pages, 3 figures, 'Time and Matter' conference,10-09a-07 version
  with acknowledgments added, and with the mention of linear induction
  generator added on page 3, and entangled states on pages 9 and 10",,,,"gr-qc",,"  The 2-body system of a superconducting sphere levitated in the magnetic field
generated by a persistent current in a superconducting ring, can possibly
convert gravitational waves into electromagnetic waves, and vice versa.
Faraday's law of induction implies that the time-varying distance between the
sphere and the ring caused by the tidal force of an incident gravitational wave
induces time-varying electrical currents, which are the source of an
electromagnetic wave at the same frequency as the incident gravitational wave.
At sufficiently low temperatures, the internal degrees of freedom of the
superconductors are frozen out because of the superconducting energy gap, and
only external degrees of freedom, which are coupled to the radiation fields,
remain. Hence this wave-conversion process is loss-free and therefore
efficient, and by time-reversal symmetry, so is the reverse process. A
Hertz-like experiment at microwave frequencies should therefore be practical to
perform. This would open up observations of the gravitational-wave analog of
the Cosmic Microwave Background from the extremely early Big Bang, and also
communications directly through the interior of the Earth.
","[{""version"":""v1"",""created"":""Mon, 8 Oct 2007 08:25:36 GMT""},{""version"":""v2"",""created"":""Tue, 9 Oct 2007 23:25:29 GMT""},{""version"":""v3"",""created"":""Tue, 23 Oct 2007 23:54:43 GMT""},{""version"":""v4"",""created"":""Sun, 28 Oct 2007 22:30:04 GMT""}]","2007-10-29"
"0710.1391","Jose Francisco Gomes","J.F. Gomes, L.H. Ymai and A.H. Zimerman","Integrablility of a Classical $N= 2$ Super Sinh-Gordon Model with Jump
  Defects","typos corrected","JHEP 0803:001,2008","10.1088/1126-6708/2008/03/001",,"hep-th",,"  The Lagrangian formalism for the N=2 supersymmetric sinh-Gordon model with a
jump defect is considered. The modified conserved momentum and energy are
constructed in terms of border functions. The supersymmetric Backlund
transformation is given and an one-soliton solution is obtained.
  The Lax formulation based on the affine super Lie algebra $sl(2,2)$ within
the space split by the defect leads to the integrability of the model and
henceforth to the existence of an infinite number of constants of motion.
","[{""version"":""v1"",""created"":""Mon, 8 Oct 2007 13:43:33 GMT""},{""version"":""v2"",""created"":""Mon, 3 Mar 2008 16:58:35 GMT""}]","2009-06-19"
"0710.1414","Benoit Blossier","B. Blossier, G. Herdoiza and S. Simula","Twisted mass QCD in the charm sector","7 pages, 5 figures, talk given at The XXV International Symposium on
  Lattice Field Theory, July 30 - August 4 2007, Regensburg","PoSLAT2007:346,2007",,,"hep-lat",,"  We present preliminary results for the charm quark mass $m_c$ and the $D$ and
$D_s$ mesons decay constants $f_D$ and $f_{D_s}$ from a lattice QCD calculation
with ${\rm N_f}$ = 2 dynamical fermions. We use the twisted mass fermionic
action defined at maximal twist so that physical quantities are automatically
${\cal O}(a)$ improved. Two lattice spacings are considered. The charm quark
mass has been renormalised in the RI-MOM scheme. After a matching to the $\msb$
scheme, we obtain from the simulation at a fine lattice ($a \sim 0.09$ fm)
$m_c^{\msb}(m_c) = 1.481 \pm 0.022 \pm 0.092$ GeV, $f_D = 205 \pm 13 \pm 17$
MeV, $f_{D_s} = 271 \pm 6 \pm 6$ MeV and from the simulation at the finer
lattice ($a \sim 0.07$ fm) $m_c^{\msb}(m_c) = 1.474 \pm 0.041 \pm 0.132$ GeV,
$f_D = 230 \pm 31 \pm 8$ MeV and $f_{D_s} = 264 \pm 5 \pm 8$ MeV. We chose
three renormalisation conditions to determine $m_c$: the spread between the
final results contributes to the systematic error. At both lattice spacings,
particularly at the finer one, the error on $m_c$ is dominated by present
uncertainty on the renormalisation constant $Z_P$, which should be reduced
before performing a reliable continuum limit.
","[{""version"":""v1"",""created"":""Mon, 8 Oct 2007 15:09:23 GMT""},{""version"":""v2"",""created"":""Thu, 11 Oct 2007 12:14:01 GMT""}]","2008-11-26"
"0710.1427","Xiang-Song Chen","Xiang-Song Chen, Xiang-Bai Chen, Wei-Min Sun, Fan Wang","Testing the correctness of the Poynting vector \vec E\times\vec B as the
  momentum density of gauge fields","3 pages, no figure",,,,"hep-ph",,"  Following our recent finding that the renowned formula $\vec x\times (\vec
E\times\vec B)$ is not the correct density for the electromagnetic angular
momentum, here we examine the validity of the Poynting vector $\vec E
\times\vec B$ as the electromagnetic momentum density (or energy flux). The
competitor is the gauge-invariant canonical momentum $E^i\vec \nabla
A^i_\perp$. It often gives the same result as $\vec E\times\vec B$, but we
propose that a delicate measurement (of the {\em azimuthal} energy flow in
polarized atomic radiations) can make a discrimination. By clarifying the
profound difference between two kinds of energy-momentum tensors: the canonical
(or mechanical) one and the symmetric (or gravitational) one, we predict that
it is $E^i\vec \nabla A^i_\perp$ that would pass the delicate experimental
test. Our observations have far-reaching implications for understanding the
source of gravity, and the nucleon momentum as well.
","[{""version"":""v1"",""created"":""Mon, 8 Oct 2007 13:53:56 GMT""}]","2007-10-09"
"0710.1430","Natalia Kiriushcheva","K. R. Green, N. Kiriushcheva, S. V. Kuzmin","Analysis of Hamiltonian formulations of linearized General Relativity","Section Discussion is modified and references are added; 19 pages","Eur. Phys. J. C71:1678,2011","10.1140/epjc/s10052-011-1678-2",,"gr-qc hep-th","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  The different forms of the Hamiltonian formulations of linearized General
Relativity/spin-two theories are discussed in order to show their similarities
and differences. It is demonstrated that in the linear model, non-covariant
modifications to the initial covariant Lagrangian (similar to those
modifications used in full gravity) are in fact unnecessary. The Hamiltonians
and the constraints are different in these two formulations but the structure
of the constraint algebra and the gauge invariance derived from it are the
same. It is shown that these equivalent Hamiltonian formulations are related to
each other by a canonical transformation which is explicitly given. The
relevance of these results to the full theory of General Relativity is briefly
discussed.
","[{""version"":""v1"",""created"":""Sun, 7 Oct 2007 16:28:33 GMT""},{""version"":""v2"",""created"":""Tue, 5 Aug 2008 17:53:21 GMT""},{""version"":""v3"",""created"":""Mon, 11 Jul 2011 00:20:04 GMT""}]","2011-07-18"
"0710.1431","\'Agnes K\'osp\'al","\'A. K\'osp\'al, P. \'Abrah\'am, D. Apai, D. R. Ardila, C. A. Grady,
  Th. Henning, A. Juh\'asz, D. W. Miller, A. Mo\'or","High-resolution polarimetry of Parsamian 21: revealing the structure of
  an edge-on FU Ori disc","Accepted for publication in the MNRAS. 16 pages, 18 figures and 5
  tables",,"10.1111/j.1365-2966.2007.12557.x",,"astro-ph",,"  We present the first high spatial resolution near-infrared direct and
polarimetric observations of Parsamian 21, obtained with the VLT/NACO
instrument. We complemented these measurements with archival infrared
observations, such as HST/WFPC2 imaging, HST/NICMOS polarimetry, Spitzer IRAC
and MIPS photometry, Spitzer IRS spectroscopy as well as ISO photometry. Our
main conclusions are the following: (1) we argue that Parsamian 21 is probably
an FU Orionis-type object; (2) Parsamian 21 is not associated with any rich
cluster of young stars; (3) our measurements reveal a circumstellar envelope, a
polar cavity and an edge-on disc; the disc seems to be geometrically flat and
extends from approximately 48 to 360 AU from the star; (4) the SED can be
reproduced with a simple model of a circumstellar disc and an envelope; (5)
within the framework of an evolutionary sequence of FUors proposed by Green et
al. (2006) and Quanz et al. (2007), Parsamian 21 can be classified as an
intermediate-aged object.
","[{""version"":""v1"",""created"":""Sun, 7 Oct 2007 16:36:02 GMT""}]","2009-11-13"
